sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,148.8821,50.0,30.0,20.0,5212.200875611182,0.41126448405681165,26.652082582714034,13637.244125191573
OAT_N,126.1228,50.0,30.0,20.0,5099.220652892244,0.3778424470475147,26.161512301316332,13519.197439518872
OAT_N,123.7525,50.0,30.0,20.0,5087.45416526254,0.3743616609810216,26.110421154488574,13506.90329782515
OAT_N,125.9121,50.0,30.0,20.0,5098.1747097864845,0.3775330340516027,26.156970722344635,13518.104592345575
OAT_N,146.6118,50.0,30.0,20.0,5200.93080141563,0.4079305480121087,26.60314690763364,13625.4686579987
OAT_N,146.8101,50.0,30.0,20.0,5201.915189255555,0.4082217516053187,26.60742120810866,13626.497189533891
OAT_N,123.5161,50.0,30.0,20.0,5086.280643904205,0.3740145075295096,26.10532561927781,13505.67715130513
OAT_N,124.6661,50.0,30.0,20.0,5091.989398396952,0.37570328278009685,26.130113544372488,13511.641908064947
OAT_N,126.6837,50.0,30.0,20.0,5102.005035844401,0.37866612881973594,26.173602342347298,13522.10668479416
OAT_N,130.6858,50.0,30.0,20.0,5121.871997892596,0.38454321354180143,26.259866477148524,13542.864556992809
OAT_N,131.6714,50.0,30.0,20.0,5126.764648699596,0.3859905673565658,26.281110806690542,13547.976612873212
OAT_N,146.2344,50.0,30.0,20.0,5199.057337115141,0.4073763360298725,26.595012157259088,13623.511180432479
OAT_N,122.6464,50.0,30.0,20.0,5081.963336267386,0.3727373528900002,26.08657948149099,13501.166239171214
OAT_N,125.643,50.0,30.0,20.0,5096.838861235184,0.3771378606429653,26.151170347872483,13516.708839263778
OAT_N,132.0102,50.0,30.0,20.0,5128.446497414503,0.38648809523039085,26.28841354497061,13549.733882082111
OAT_N,131.5383,50.0,30.0,20.0,5126.1039224187425,0.385795109977563,26.278241873794798,13547.286257112584
OAT_N,135.8893,50.0,30.0,20.0,5147.7028709386905,0.39218455442565453,26.37202644952259,13569.853784644709
OAT_N,122.3982,50.0,30.0,20.0,5080.73123812382,0.3723728711359169,26.08122960061403,13499.878889060097
OAT_N,122.2419,50.0,30.0,20.0,5079.955343926241,0.3721433445518588,26.077860598272906,13499.068200815263
OAT_N,129.8354,50.0,30.0,20.0,5117.650498048567,0.3832944009564976,26.24153634540895,13538.453749037548
OAT_N,149.6962,50.0,30.0,20.0,5216.242177378613,0.41245999008420564,26.669630278209322,13641.466654303014
OAT_N,138.451,50.0,30.0,20.0,5160.41949388136,0.3959464114338541,26.427243169274796,13583.140669333072
OAT_N,146.6589,50.0,30.0,20.0,5201.164612143116,0.4079997143723719,26.604162134826648,13625.712953688602
OAT_N,120.9101,50.0,30.0,20.0,5073.344109810206,0.37018759596165696,26.04915402554151,13492.160493812895
OAT_N,140.0868,50.0,30.0,20.0,5168.539824837218,0.3983485840902982,26.46250237611817,13591.625146818027
OAT_N,123.0397,50.0,30.0,20.0,5083.915730303905,0.37331491402570105,26.095056951873367,13503.20618598307
OAT_N,124.126,50.0,30.0,20.0,5089.308269439098,0.374910145812408,26.118471841464977,13508.84054708584
OAT_N,129.7224,50.0,30.0,20.0,5117.089550867975,0.3831284604318747,26.239100662334426,13537.86764685158
OAT_N,127.7718,50.0,30.0,20.0,5107.406510421408,0.38026400390683507,26.197056030430357,13527.750382037937
